Turkey,6,0.642,0.655,0.750,0.816,0.751,0.120,0.139,0.144,105
Turkey,6,0.642,0.655,0.750,0.816,0.751,0.120,0.139,0.144,105
Swan,4,0.403,0.412,0.479,0.522,0.715,0.115,0.131,0.137,140
*Swanate,4,0.399,0.407,0.463,0.516,0.710,0.113,0.124,0.130,140
*Sparrow,2,0.253,0.259,0.308,0.336,0.678,0.110,0.123,0.128,185
*Sparate,2,0.251,0.256,0.297,0.330,0.674,0.109,0.118,0.121,185
Robin,1,0.201,0.206,0.247,0.270,0.660,0.107,0.119,0.122,210
*Raven,1/0,0.159,0.163,0.197,0.216,0.642,0.104,0.114,0.116,240
Quail,2/0,0.126,0.130,0.162,0.176,0.624,0.102,0.112,0.113,275
*Pigeon,3/0,0.100,0.103,0.121,0.145,0.606,0.0992,0.108,0.109,315
*Penguin,4/0,0.0795,0.0822,0.107,0.116,0.597,0.0964,0.105,0.105,365
Waxwing,266.8,0.0644,0.0657,0.0723,0.0788,0.576,0.0903,0.0903,0.0903,445
Partridge,266.8,0.0637,0.0652,0.0714,0.0778,0.565,0.0881,0.0881,0.0881,455
*Merlin,336.4,0.0510,0.0523,0.0574,0.0625,0.560,0.0826,0.0826,0.0826,515
*Linnet,336.4,0.0506,0.0517,0.0568,0.0619,0.549,0.0854,0.0854,0.0854,530
Oriole,336.4,0.0502,0.0513,0.0563,0.0614,0.544,0.0843,0.0843,0.0843,530
Chickadee,397.5,0.0432,0.0443,0.0487,0.0528,0.544,0.0856,0.0856,0.0856,575
Ibis,397.5,0.0428,0.0438,0.0481,0.0525,0.539,0.0835,0.0835,0.0835,590
*Pelican,477,0.0360,0.0369,0.0405,0.0441,0.528,0.0835,0.0835,0.0835,640
Flicker,477,0.0358,0.0367,0.0403,0.0439,0.524,0.0818,0.0818,0.0818,670
*Hawk,477,0.0357,0.0366,0.0402,0.0438,0.522,0.0814,0.0814,0.0814,660
Hen,477,0.0354,0.0362,0.0398,0.0434,0.517,0.0803,0.0803,0.0803,660
Osprey,556.5,0.0309,0.0318,0.0348,0.0379,0.518,0.0818,0.0818,0.0818,710
Parakeet,556.5,0.0307,0.0314,0.0347,0.0377,0.512,0.0801,0.0801,0.0801,720
Dove,556.5,0.0305,0.0314,0.0345,0.0375,0.510,0.0795,0.0795,0.0795,730
Rook,636,0.0268,0.0277,0.0303,0.0330,0.502,0.0786,0.0786,0.0786,780
Grosbeak,636,0.0267,0.0275,0.0301,0.0328,0.499,0.0780,0.0780,0.0780,790
Drake,795,0.0214,0.0222,0.0242,0.0263,0.482,0.0756,0.0756,0.0756,910
Tern,795,0.0216,0.0225,0.0246,0.0267,0.488,0.0769,0.0769,0.0769,890
Rail,954,0.0180,0.0188,0.0206,0.0223,0.474,0.0748,0.0748,0.0748,970
Cardinal,954,0.0179,0.0186,0.0205,0.0222,0.470,0.0737,0.0737,0.0737,990
Curlew,1033.5,0.0165,0.0172,0.0189,0.0205,0.464,0.0729,0.0729,0.0729,1040
Bluejay,1113,0.0155,0.0163,0.0178,0.0193,0.461,0.0731,0.0731,0.0731,1070
Bittern,1272,0.0135,0.0144,0.0157,0.0170,0.451,0.0716,0.0716,0.0716,1160
Lapwing,1590,0.0108,0.0117,0.0128,0.0138,0.434,0.0689,0.0689,0.0689,1340
Falcon,1590,0.0108,0.0116,0.0129,0.0140,0.430,0.0678,0.0678,0.0678,1360
Bluebird,2156,0.00801,0.00903,0.00977,0.0105,0.409,0.0652,0.0652,0.0652,1610
