Partridge/ACSS,266.8,251.3,115.6,366.9,68.49,31.51,0.0619,0.0633,0.0762,0.565,0.088,0.0217
Oriole/ACSS,336.4,317.7,208.7,526.4,60.35,39.65,0.0488,0.0499,0.0601,0.544,0.084,0.0255
Linnet/ACSS,336.4,316.6,145.4,462,68.53,31.47,0.0492,0.0503,0.0605,0.549,0.085,0.0244
Lark/ACSS,397.5,375.3,246.5,621.8,60.36,39.64,0.0413,0.0423,0.0509,0.533,0.082,0.0277
Ibis/ACSS,397.5,374.1,171.9,546,68.52,31.48,0.0416,0.0426,0.0512,0.539,0.084,0.0265
Hen/ACSS,477.0,450.4,296,746.4,60.34,39.66,0.0344,0.0353,0.0424,0.517,0.080,0.3040
Hawk/ACSS,477.0,449,206.3,655.3,68.52,31.48,0.0347,0.0355,0.0427,0.522,0.081,0.0290
Flicker/ACSS,477.0,449.4,164.5,613.9,73.20,26.80,0.0348,0.0357,0.0429,0.524,0.082,0.0283
Eagle/ACSS,556.5,525.5,345.2,870.7,60.35,39.65,0.0295,0.0303,0.0364,0.505,0.079,0.0328
Dove/ACSS,556.5,524.2,241,765.2,68.50,31.50,0.0297,0.0305,0.0367,0.510,0.080,0.0313
Parakeet/ACSS,556.5,524.3,191.8,716.1,73.22,26.78,0.0298,0.0307,0.0368,0.512,0.080,0.0306
Peacock/ACSS,605.0,570.1,208.7,778.8,73.20,26.80,0.0274,0.0282,0.0339,0.505,0.079,0.0319
Egret/ACSS,636.0,600.5,386.7,987.2,60.83,39.17,0.0258,0.0266,0.0319,0.495,0.077,0.0351
Grosbeak/ACSS,636.0,599,275.2,874.2,68.52,31.48,0.026,0.0268,0.0321,0.500,0.078,0.0335
Rook/ACSS,636.0,599.1,219.1,818.2,73.22,26.78,0.0261,0.0269,0.0323,0.502,0.079,0.0327
Flamingo/ACSS,666.6,628.2,229.7,857.9,73.23,26.77,0.0249,0.0257,0.0308,0.498,0.078,0.0335
Redwing/ACSS,715.5,675.3,434,1109,60.88,39.12,0.023,0.0237,0.0284,0.486,0.076,0.0372
Starling/ACSS,715.5,674,309.7,983.7,68.52,31.48,0.0231,0.0238,0.0286,0.490,0.077,0.0355
Mallard/ACSS,795.0,750.7,483.2,1234,60.84,39.16,0.0207,0.0213,0.0256,0.477,0.074,0.0392
Condor/ACSS,795.0,748.4,273.6,1022,73.23,26.77,0.0209,0.0216,0.0267,0.484,0.076,0.0368
Tern/ACSS,795.0,748.6,146.4,895,83.64,16.36,0.021,0.0218,0.0263,0.488,0.076,0.0352
Drake/ACSS,795.0,749.1,343.9,1093,68.54,31.46,0.0208,0.0215,0.0258,0.482,0.076,0.0375
Cuckoo/ACSS,795.0,748.8,274.2,1023,73.20,26.80,0.0209,0.0216,0.0259,0.484,0.076,0.0361
Canary/ACSS,900.0,847.7,310.3,1158,73.20,26.80,0.0184,0.0192,0.0236,0.474,0.074,0.0392
Ruddy/ACSS,900.0,847.4,165.6,1013,83.65,16.35,0.0186,0.0194,0.0233,0.479,0.076,0.0374
Cardinal/ACSS,954.0,898.3,328.8,1227,73.21,26.79,0.0174,0.0181,0.0223,0.470,0.076,0.0404
Rail/ACSS,954.0,898.5,175.5,1074,83.66,16.34,0.0175,0.0183,0.0221,0.474,0.075,0.0385
Curlew/ACSS,1033.5,972.8,356.2,1329,73.20,26.80,0.0161,0.0168,0.0206,0.464,0.073,0.0420
Ortolan/ACSS,1033.5,972.8,190.2,1163,83.65,16.35,0.0162,0.017,0.0204,0.468,0.074,0.0401
Finch/ACSS,1113.0,1053.9,376.1,1430,73.70,26.30,0.015,0.0157,0.0193,0.458,0.070,0.0436
Bluejay/ACSS,1113.0,1048.7,205.3,1254,83.63,16.37,0.015,0.0159,0.019,0.462,0.073,0.0416
Grackle/ACSS,1192.5,1128.6,402.4,1531,73.72,26.28,0.014,0.0147,0.018,0.452,0.071,0.0451
Bunting/ACSS,1192.5,1123.0,219,1342,83.68,16.32,0.014,0.0149,0.0178,0.456,0.072,0.0431
Pheasant/ACSS,1272.0,1204.3,429.7,1634,73.70,26.30,0.0131,0.0139,0.0169,0.447,0.070,0.0466
Bittern/ACSS,1272.0,1197.7,234.3,1432,83.64,16.36,0.0132,0.014,0.0167,0.451,0.072,0.0445
Martin/ACSS,1351.0,1279.2,455.8,1735,73.73,26.27,0.012,0.013,0.016,0.442,0.070,0.0480
Dipper/ACSS,1351.0,1272.9,248.1,1521,83.69,16.31,0.0124,0.0132,0.0158,0.447,0.071,0.0459
Plover/ACSS,1431.0,1354.6,483.4,1838,73.70,26.30,0.012,0.012,0.015,0.438,0.069,0.0495
Bobolink/ACSS,1431.0,1347.5,263.5,1611,83.64,16.36,0.012,0.013,0.015,0.442,0.070,0.0472
Falcon/ACSS,1590.0,1505.0,537,2042,73.70,26.30,0.011,0.011,0.014,0.430,0.068,0.0521
Lapwing/ACSS,1590.0,1498.1,291.9,1790,83.69,16.31,0.011,0.012,0.014,0.434,0.069,0.0498
Chukar/ACSS*,1780.0,1685.5,386.5,2072,81.35,18.65,0.009,0.01,0.012,0.424,0.067,0.0534
Bluebird/ACSS*,2156.0,2040.4,467.6,2508,81.36,18.64,0.008,0.009,0.01,0.409,0.065,0.0588
Kiwi/ACSS*,2167.0,2051.4,249.6,2301,89.15,10.85,0.008,0.009,0.01,0.411,0.068,0.0570
Thrasher/ACSS*,2312.0,2187.9,335.1,2523,86.72,13.28,0.007,0.009,0.01,0.405,0.065,0.0600
