Partridge/ACSS,266.8,26,0.1013,2,7,0.0788,1,0.642,0.2095,0.2437,8.9,9.7,11.4
Oriole/ACSS,336.4,30,0.1059,2,7,0.1059,1,0.741,0.2642,0.3259,14.8,16.3,19.1
Linnet/ACSS,336.4,26,0.1137,2,7,0.0884,1,0.720,0.2640,0.3070,11.2,12.3,14.4
Lark/ACSS,397.5,30,0.1151,2,7,0.1151,1,0.806,0.3121,0.3850,17.5,19.3,22.6
Ibis/ACSS,397.5,26,0.1236,2,7,0.0961,1,0.783,0.3120,0.3627,13.0,14.2,16.5
Hen/ACSS,477.0,30,0.1261,2,7,0.1261,1,0.883,0.3747,0.4621,21.0,22.7,26.7
Hawk/ACSS,477.0,26,0.1354,2,7,0.1053,1,0.858,0.3744,0.4353,15.6,17.1,19.8
Flicker/ACSS,477.0,24,0.1410,2,7,0.0940,1,0.846,0.3747,0.4233,13.0,14.2,16.4
Eagle/ACSS,556.5,30,0.1362,2,7,0.1362,1,0.953,0.4371,0.5391,24.5,26.5,31.1
Dove/ACSS,556.5,26,0.1463,2,7,0.1138,1,0.927,0.4371,0.5083,18.2,19.9,23.1
Parakeet/ACSS,556.5,24,0.1523,2,7,0.1015,1,0.914,0.4372,0.4939,15.2,16.6,19.1
Peacock/ACSS,605.0,24,0.1588,2,7,0.1059,1,0.953,0.4753,0.5370,16.5,18.1,20.8
Egret/ACSS,636.0,30,0.1456,2,19,0.0874,2,1.019,0.4995,0.6135,28.0,30.9,36.6
Grosbeak/ACSS,636.0,26,0.1564,2,7,0.1216,1,0.990,0.4995,0.5808,20.7,22.4,26.0
Rook/ACSS,636.0,24,0.1628,2,7,0.1085,1,0.977,0.4996,0.5643,17.3,19.0,21.9
Flamingo/ACSS,666.6,24,0.1667,2,7,0.1111,1,1.000,0.5238,0.5917,18.2,19.9,22.9
Redwing/ACSS,715.5,30,0.1544,2,19,0.0926,2,1.081,0.5617,0.6897,30.8,34.0,39.8
Starling/ACSS,715.5,26,0.1659,2,7,0.1290,1,1.051,0.5620,0.6535,23.3,25.2,29.3
Mallard/ACSS,795.0,30,0.1628,2,19,0.0977,2,1.140,0.6245,0.7669,34.3,37.9,44.3
Condor/ACSS,795.0,54,0.1213,3,7,0.1213,1,1.092,0.6240,0.7049,21.7,23.3,26.9
Tern/ACSS,795.0,45,0.1329,3,7,0.0886,1,1.063,0.6242,0.6674,14.2,15.2,17.4
Drake/ACSS,795.0,26,0.1749,2,7,0.1360,1,1.108,0.6247,0.7263,25.9,28.0,32.6
Cuckoo/ACSS,795.0,24,0.1820,2,7,0.1213,1,1.092,0.6244,0.7053,21.7,23.3,26.9
Canary/ACSS,900.0,54,0.1291,3,7,0.1291,1,1.162,0.7069,0.7985,24.6,26.4,30.5
Ruddy/ACSS,900.0,45,0.1414,3,7,0.0943,1,1.131,0.7066,0.7555,15.8,17.0,19.2
Cardinal/ACSS,954.0,54,0.1329,3,7,0.1329,1,1.196,0.7491,0.8462,26.0,28.0,32.3
Rail/ACSS,954.0,45,0.1456,3,7,0.0971,1,1.165,0.7492,0.8011,16.7,18.0,20.4
Curlew/ACSS,1033.5,54,0.1383,3,7,0.1383,1,1.245,0.8112,0.9164,28.2,30.3,35.0
Ortolan/ACSS,1033.5,45,0.1515,3,7,0.1010,1,1.212,0.8112,0.8673,18.1,19.5,22.0
Finch/ACSS,1113.0,54,0.1436,3,19,0.0862,2,1.293,0.8746,0.9854,30.4,33.2,38.7
Bluejay/ACSS,1113.0,45,0.1573,3,7,0.1049,1,1.259,0.8745,0.9350,19.5,21.1,23.8
Grackle/ACSS,1192.5,54,0.1486,3,19,0.0892,2,1.338,0.9365,1.0553,32.6,35.5,41.5
Bunting/ACSS,1192.5,45,0.1628,3,7,0.1085,1,1.302,0.9367,1.0014,21.4,23.5,25.4
Pheasant/ACSS,1272.0,54,0.1535,3,19,0.0921,2,1.382,0.9993,1.1259,34.1,37.3,43.0
Bittern/ACSS,1272.0,45,0.1681,3,7,0.1121,1,1.345,0.9987,1.0678,22.3,24.0,27.1
Martin/ACSS,1351.0,54,0.1582,3,19,0.0949,2,1.424,1.0614,1.1958,36.2,39.6,45.6
Dipper/ACSS,1351.0,45,0.1733,3,7,0.1155,1,1.386,1.0614,1.1348,23.7,25.5,28.8
Plover/ACSS,1431.0,54,0.1628,3,19,0.0977,2,1.465,1.1241,1.2665,38.4,41.9,48.3
Bobolink/ACSS,1431.0,45,0.1783,3,7,0.1189,1,1.427,1.1236,1.2013,25.1,27.0,30.5
Falcon/ACSS,1590.0,54,0.1716,3,19,0.1030,2,1.545,1.2489,1.4072,42.6,46.6,53.7
Lapwing/ACSS,1590.0,45,0.1880,3,7,0.1253,1,1.504,1.2492,1.3355,27.9,29.6,33.5
Chukar/ACSS*,1780.0,84,0.1456,4,19,0.0874,2,1.602,1.3986,1.5126,35.4,38.2,43.9
Bluebird/ACSS*,2156.0,84,0.1602,4,19,0.0961,2,1.762,1.6931,1.8310,42.1,45.5,51.7
Kiwi/ACSS*,2167.0,72,0.1735,4,7,0.1157,1,1.735,1.7022,1.7758,29.0,30.8,34.1
Thrasher/ACSS*,2312.0,76,0.1744,4,19,0.0814,2,1.802,1.8155,1.9144,35.6,38.1,43.0
