OCEANSIDE,--,383.2,0.680,0.235,395.2,360.0,35.2,16.0,--,0.2319,0.2374,0.4009,558,938,987,0.0231,0.4572,0.1057,ACSR,Ostrich
LINNET,--,430.5,0.720,0.235,439.3,404.1,35.2,16.3,--,0.2055,0.2103,0.3552,602,"1,014","1,067",0.0244,0.4506,0.1040,ACSR,Linnet
ORIOLE,--,438.6,0.741,0.280,462.0,412.0,50.0,22.1,--,0.2019,0.2065,0.3486,612,"1,033","1,087",0.0254,0.4457,0.1032,ACSR,Oriole
WACO,--,454.0,0.770,0.305,485.9,426.6,59.3,25.8,--,0.1951,0.1996,0.3393,628,"1,060","1,115",0.0265,0.4405,0.1020,ACSR,Lynx
LAREDO,--,529.8,0.807,0.280,547.4,497.4,50.0,22.6,--,0.1671,0.1712,0.2905,687,"1,162","1,223",0.0274,0.4365,0.1006,ACSR,Panther
IRVING,,609.5,0.882,0.345,648.3,572.5,75.8,33.2,39.0,0.1454,0.1491,0.2530,753,"1,280","1,348",0.0303,0.4243,0.0980,ACSR,Hen
HAWK,--,611.3,0.858,0.280,623.8,573.8,50.0,23.2,--,0.1448,0.1485,0.2448,753,"1,289","1,358",0.0290,0.4296,0.0988,ACSR,Hawk
DOVE,--,713.5,0.927,0.305,729.0,669.7,59.3,27.4,--,0.1240,0.1274,0.2149,826,"1,410","1,486",0.0314,0.4200,0.0965,ACSR,Dove
AMARILLO,,784.7,0.990,0.375,826.3,737.1,89.2,39.6,46.2,0.1132,0.1168,0.1963,879,"1,506","1,587",0.0339,0.4107,0.0946,ACSR,Drake
GROSBEAK,--,821.4,0.990,0.320,836.1,770.9,65.2,30.4,--,0.1081,0.1114,0.1884,898,"1,537","1,620",0.0335,0.4121,0.0946,ACSR,Grosbeak
LUBBOCK,,903.9,1.040,0.345,923.8,848.0,75.8,35.0,40.8,0.0979,0.1011,0.1707,956,"1,640","1,729",0.0352,0.4061,0.0931,ND,ND
GALVESTON,,1011.3,1.090,0.345,1024.8,949.0,75.8,35.7,41.5,0.0875,0.0907,0.1527,"1,022","1,760","1,856",0.0368,0.4007,0.0917,ACSR,Condor
DRAKE,,1025.6,1.108,0.375,1052.0,962.8,89.2,41.1,47.7,0.0863,0.0892,0.1498,"1,036","1,786","1,884",0.0376,0.3981,0.0912,ACSR,Drake
CURLEW,,1033.0,1.140,0.415,1088.1,978.1,110.0,48.9,57.2,0.0862,0.0898,0.1498,"1,042","1,801","1,901",0.0389,0.3940,0.0904,ACSR,Curlew
PLANO,,1059.5,1.127,0.345,1072.8,997.0,75.8,36.0,41.8,0.0840,0.0876,0.1468,"1,050","1,813","1,913",0.0379,0.3971,0.0907,ACSR,Zebra
CORPUS_CHRISTI,,1103.0,1.146,0.345,1112.8,1037.0,75.8,36.3,42.1,0.0806,0.0843,0.1411,"1,076","1,859","1,962",0.0385,0.3952,0.0902,AAAC,500
ARLINGTON,,1151.0,1.177,0.375,1173.2,1084.0,89.2,41.9,48.5,0.0773,0.0809,0.1352,"1,106","1,915","2,022",0.0397,0.3915,0.0894,ACSR,Deer
CARDINAL,,1221.8,1.198,0.345,1224.8,1149.0,75.8,37.1,42.9,0.0728,0.0762,0.1266,"1,146","1,990","2,101",0.0402,0.3900,0.0889,ACSR,Cardinal
FORT_WORTH,,1300.4,1.240,0.375,1312.2,1223.0,89.2,42.9,49.5,0.0684,0.0721,0.1200,"1,189","2,067","2,183",0.0417,0.3855,0.0879,AAAC,Rubus
EL_PASO,,1349.9,1.252,0.345,1344.8,1269.0,75.8,37.9,43.7,0.0659,0.0698,0.1157,"1,212","2,111","2,230",0.0419,0.3850,0.0876,ACSR,Moose
BEAUMONT,,1428.6,1.294,0.375,1436.2,1347.0,89.2,43.7,50.3,0.0623,0.0661,0.1094,"1,257","2,194","2,318",0.0434,0.3807,0.0866,ACSR,Finch
SAN_ANTONIO,,1474.9,1.315,0.385,1484.1,1390.0,94.1,45.8,52.9,0.0603,0.0623,0.1024,"1,302","2,279","2,408",0.0441,0.3787,0.0861,AAAC,Sorbus
BITTERN,,1581.6,1.345,0.345,1565.8,1490.0,75.8,39.4,45.2,0.0566,0.0603,0.0992,"1,331","2,332","2,465",0.0448,0.3768,0.0855,ACSR,Bittern
DALLAS,,1794.9,1.452,0.385,1793.1,1699.0,94.1,47.9,55.0,0.0497,0.0546,0.0877,"1,434","2,540","2,688",0.0485,0.3672,0.0832,ND,ND
HOUSTON,,1927.4,1.506,0.415,1934.0,1824.0,110.0,54.6,62.9,0.0459,0.0510,0.0809,"1,502","2,675","2,833",0.0504,0.3625,0.0821,ACSR,Lapwing
LAPWING,,1948.9,1.504,0.385,1938.1,1844.0,94.1,48.8,55.9,0.0458,0.0507,0.0815,"1,502","2,665","2,821",0.0501,0.3633,0.0822,ACSR,Lapwing
FALCON,,2045.1,1.545,0.415,2045.0,1935.0,110.0,55.4,63.7,0.0436,0.0479,0.0773,"1,555","2,761","2,923",0.0516,0.3597,0.0814,ACSR,Falcon
BLUEBIRD,,2740.6,1.762,0.415,2703.0,2593.0,110.0,59.8,68.1,0.0326,0.0387,0.0597,"1,808","3,274","3,474",0.0585,0.3445,0.0775,AC,ND
